tarih,deger=ton
2014-07-05,30485000000
2014-08-05,27355000000
2014-09-05,32535000000
2014-10-05,31155000000
2014-11-05,16890000000
2014-12-05,33475000000
2014-05-13,33760000000
2014-05-14,31530000000
2014-05-15,29675000000
2014-05-16,28710000000
2014-05-17,26695000000
2014-05-18,16885000000
2014-05-19,30155000000
2014-05-20,30480000000
2014-05-21,30185000000
2014-05-22,28575000000
2014-05-23,25925000000
2014-05-24,29135000000
2014-05-25,18140000000
2014-05-26,32855000000
2014-05-27,30155000000
2014-05-28,31700000000
2014-05-29,29185000000
2014-05-30,28175000000
2014-05-31,27545000000
2014-01-06,16200000000
2014-02-06,32375000000
2014-03-06,30320000000
2014-04-06,28495000000
2014-05-06,28880000000
2014-06-06,27050000000
2014-07-06,28340000000
2014-08-06,17170000000
2014-09-06,32615000000
2014-10-06,30235000000
2014-11-06,30095000000
2014-12-06,29050000000
2014-06-13,27650000000
2014-06-14,27945000000
2014-06-15,19530000000
2014-06-16,32495000000
2014-06-17,30280000000
2014-06-18,29265000000
2014-06-19,28965000000
2014-06-20,27350000000
2014-06-21,28145000000
2014-06-22,17765000000
2014-06-23,38480000000
2014-06-24,40045000000
2014-06-25,35520000000
2014-06-26,30295000000
2014-06-27,31330000000
2014-06-28,35015000000
2014-06-29,14355000000
2014-06-30,30965000000
2014-01-07,35850000000
2014-02-07,29810000000
2014-03-07,27595000000
2014-04-07,28020000000
2014-05-07,27445000000
2014-06-07,17685000000
2014-07-07,30545000000
2014-08-07,28900000000
2014-09-07,27935000000
2014-10-07,26325000000
2014-11-07,23970000000
2014-12-07,25650000000
2014-07-13,11855000000
2014-07-14,27225000000
2014-07-15,27860000000
2014-07-16,30275000000
2014-07-17,30285000000
2014-07-18,27760000000
2014-07-19,31150000000
2014-07-20,18345000000
2014-07-21,37600000000
2014-07-22,32870000000
2014-07-23,29515000000
2014-07-24,27670000000
2014-07-25,31150000000
2014-07-26,32740000000
2014-07-27,32755000000
2014-07-28,23580000000
2014-07-29,15445000000
2014-07-30,14610000000
2014-07-31,25195000000
2014-01-08,27320000000
2014-02-08,27900000000
2014-03-08,17335000000
2014-04-08,36585000000
2014-05-08,33645000000
2014-06-08,35140000000
2014-07-08,32000000000
2014-08-08,32035000000
2014-09-08,33810000000
2014-10-08,15900000000
2014-11-08,33115000000
2014-12-08,31500000000
2014-08-13,31415000000
2014-08-14,32595000000
2014-08-15,30615000000
2014-08-16,34890000000
2014-08-17,16345000000
2014-08-18,35040000000
2014-08-19,33545000000
2014-08-20,32480000000
2014-08-21,32730000000
2014-08-22,38830000000
2014-08-23,32030000000
2014-08-24,18050000000
2014-08-25,40590000000
2014-08-26,35315000000
2014-08-27,34650000000
2014-08-28,33255000000
2014-08-29,32775000000
2014-08-30,38025000000
2014-08-31,15685000000
2014-01-09,41185000000
2014-02-09,44060000000
2014-03-09,32925000000
2014-04-09,37775000000
2014-05-09,32870000000
2014-06-09,33900000000
2014-07-09,19205000000
2014-08-09,35965000000
2014-09-09,42835000000
2014-10-09,35320000000
2014-11-09,32525000000
2014-12-09,32110000000
2014-09-13,30935000000
2014-09-14,19655000000
2014-09-15,39990000000
2014-09-16,38735000000
2014-09-17,35625000000
2014-09-18,37020000000
2014-09-19,32075000000
2014-09-20,34895000000
2014-09-21,14900000000
2014-09-22,36160000000
2014-09-23,34885000000
2014-09-24,37990000000
2014-09-25,31435000000
2014-09-26,35760000000
2014-09-27,34595000000
2014-09-28,24360000000
2014-09-29,44570000000
2014-09-30,40105000000
2014-01-10,40880000000
2014-02-10,39345000000
2014-03-10,41105000000
2014-04-10,33160000000
2014-05-10,32650000000
2014-06-10,26225000000
2014-07-10,28090000000
2014-08-10,41225000000
2014-09-10,40470000000
2014-10-10,37665000000
2014-11-10,33495000000
2014-12-10,16400000000
2014-10-13,38130000000
2014-10-14,37270000000
2014-10-15,34320000000
2014-10-16,29855000000
2014-10-17,29865000000
2014-10-18,27635000000
2014-10-19,18665000000
2014-10-20,39120000000
2014-10-21,35205000000
2014-10-22,34265000000
2014-10-23,33385000000
2014-10-24,30030000000
2014-10-25,29570000000
2014-10-26,18325000000
2014-10-27,42070000000
2014-10-28,44970000000
2014-10-29,39370000000
2014-10-30,31620000000
2014-10-31,29950000000
2014-01-11,28600000000
2014-02-11,18915000000
2014-03-11,38100000000
2014-04-11,39080000000
2014-05-11,39405000000
2014-06-11,34745000000
2014-07-11,33290000000
2014-08-11,32785000000
2014-09-11,17815000000
2014-10-11,42180000000
2014-11-11,41460000000
2014-12-11,36215000000
2014-11-13,34565000000
2014-11-14,33975000000
2014-11-15,29920000000
2014-11-16,18750000000
2014-11-17,40770000000
2014-11-18,36360000000
2014-11-19,32540000000
2014-11-20,36435000000
2014-11-21,37100000000
2014-11-22,32030000000
2014-11-23,18910000000
2014-11-24,44745000000
2014-11-25,38965000000
2014-11-26,36055000000
2014-11-27,39710000000
2014-11-28,37870000000
2014-11-29,35225000000
2014-11-30,18765000000
2014-01-12,45745000000
2014-02-12,37255000000
2014-03-12,42130000000
2014-04-12,36705000000
2014-05-12,33335000000
2014-06-12,33240000000
2014-07-12,17955000000
2014-08-12,42450000000
2014-09-12,38850000000
2014-10-12,39885000000
2014-11-12,38815000000
2014-12-12,29080000000
2014-12-13,34100000000
2014-12-14,19070000000
2014-12-15,41180000000
2014-12-16,39740000000
2014-12-17,38020000000
2014-12-18,33725000000
2014-12-19,33605000000
2014-12-20,33820000000
2014-12-21,16475000000
2014-12-22,39900000000
2014-12-23,39350000000
2014-12-24,34360000000
2014-12-25,27530000000
2014-12-26,30815000000
2014-12-27,52850000000
2014-12-28,16620000000
2014-12-29,42440000000
2014-12-30,38345000000
2014-12-31,39090000000
2015-01-01,31320000000
2015-02-01,34715000000
2015-03-01,25070000000
2015-04-01,17525000000
2015-05-01,43625000000
2015-06-01,29090000000
2015-07-01,8170000000
2015-08-01,21465000000
2015-09-01,32575000000
2015-10-01,31160000000
2015-11-01,17215000000
2015-12-01,46390000000
2015-01-13,47020000000
2015-01-14,44380000000
2015-01-15,40135000000
2015-01-16,38975000000
2015-01-17,35255000000
2015-01-18,18580000000
2015-01-19,43570000000
2015-01-20,40105000000
2015-01-21,33615000000
2015-01-22,40970000000
2015-01-23,35250000000
2015-01-24,35760000000
2015-01-25,20630000000
2015-01-26,45195000000
2015-01-27,41905000000
2015-01-28,41450000000
2015-01-29,40690000000
2015-01-30,37640000000
2015-01-31,33495000000
2015-01-02,21050000000
2015-02-02,38100000000
2015-03-02,36670000000
2015-04-02,40700000000
2015-05-02,42890000000
2015-06-02,37375000000
2015-07-02,35585000000
2015-08-02,15915000000
2015-09-02,43435000000
2015-10-02,40185000000
2015-11-02,38235000000
2015-12-02,38825000000
2015-02-13,36075000000
2015-02-14,33910000000
2015-02-15,19905000000
2015-02-16,44950000000
2015-02-17,35080000000
2015-02-18,26455000000
2015-02-19,40850000000
2015-02-20,36725000000
2015-02-21,31690000000
2015-02-22,18580000000
2015-02-23,41730000000
2015-02-24,41790000000
2015-02-25,44195000000
2015-02-26,41580000000
2015-02-27,37960000000
2015-02-28,35550000000
2015-01-03,17885000000
2015-02-03,42975000000
2015-03-03,38655000000
2015-04-03,36975000000
2015-05-03,35500000000
2015-06-03,31695000000
2015-07-03,37105000000
2015-08-03,18520000000
2015-09-03,42380000000
2015-10-03,37780000000
2015-11-03,35480000000
2015-12-03,33500000000
2015-03-13,37305000000
2015-03-14,33745000000
2015-03-15,15125000000
2015-03-16,41610000000
2015-03-17,39740000000
2015-03-18,32105000000
2015-03-19,30755000000
2015-03-20,30055000000
2015-03-21,28075000000
2015-03-22,20125000000
2015-03-23,40225000000
2015-03-24,43165000000
2015-03-25,37080000000
2015-03-26,38560000000
2015-03-27,30610000000
2015-03-28,33895000000
2015-03-29,15130000000
2015-03-30,40180000000
2015-03-31,41450000000
2015-01-04,39130000000
2015-02-04,32970000000
2015-03-04,31770000000
2015-04-04,30330000000
2015-05-04,14255000000
2015-06-04,39130000000
2015-07-04,38335000000
2015-08-04,33905000000
2015-09-04,30460000000
2015-10-04,28555000000
2015-11-04,30035000000
2015-12-04,17470000000
2015-04-13,34450000000
2015-04-14,38790000000
2015-04-15,42840000000
2015-04-16,43030000000
2015-04-17,37220000000
2015-04-18,32935000000
2015-04-19,16740000000
2015-04-20,39745000000
2015-04-21,36990000000
2015-04-22,32405000000
2015-04-23,20355000000
2015-04-24,28155000000
2015-04-25,34890000000
2015-04-26,16470000000
2015-04-27,41605000000
2015-04-28,36825000000
2015-04-29,36840000000
2015-04-30,33610000000
2015-01-05,30930000000
2015-02-05,32890000000
2015-03-05,17320000000
2015-04-05,37800000000
2015-05-05,33395000000
2015-06-05,33550000000
2015-07-05,31100000000
2015-08-05,29545000000
2015-09-05,33890000000
2015-10-05,16895000000
2015-11-05,38165000000
2015-12-05,34325000000
2015-05-13,34170000000
2015-05-14,32970000000
2015-05-15,44165000000
2015-05-16,30100000000
2015-05-17,17225000000
2015-05-18,38065000000
2015-05-19,36035000000
2015-05-20,36030000000
2015-05-21,33060000000
2015-05-22,31910000000
2015-05-23,42895000000
2015-05-24,17075000000
2015-05-25,33415000000
2015-05-26,34665000000
2015-05-27,33555000000
2015-05-28,33410000000
2015-05-29,33700000000
2015-05-30,30180000000
2015-05-31,15875000000
2015-01-06,46510000000
2015-02-06,47730000000
2015-03-06,36870000000
2015-04-06,32430000000
2015-05-06,36910000000
2015-06-06,30800000000
2015-07-06,17075000000
2015-08-06,55165000000
2015-09-06,35025000000
2015-10-06,36560000000
2015-11-06,35975000000
2015-12-06,41660000000
2015-06-13,41660000000
2015-06-14,19670000000
2015-06-15,40370000000
2015-06-16,46530000000
2015-06-17,36805000000
2015-06-18,36265000000
2015-06-19,29540000000
2015-06-20,32625000000
2015-06-21,17355000000
2015-06-22,34940000000
2015-06-23,49885000000
2015-06-24,33545000000
2015-06-25,31270000000
2015-06-26,31600000000
2015-06-27,28825000000
2015-06-28,19275000000
2015-06-29,35720000000
2015-06-30,34155000000
2015-01-07,50335000000
2015-02-07,31505000000
2015-03-07,31035000000
2015-04-07,31175000000
2015-05-07,15380000000
2015-06-07,31910000000
2015-07-07,32755000000
2015-08-07,32075000000
2015-09-07,42150000000
2015-10-07,31630000000
2015-11-07,30120000000
2015-12-07,19795000000
2015-07-13,38225000000
2015-07-14,35685000000
2015-07-15,40880000000
2015-07-16,34025000000
2015-07-17,30835000000
2015-07-18,16040000000
2015-07-19,13200000000
2015-07-20,47645000000
2015-07-21,34910000000
2015-07-22,33575000000
2015-07-23,33750000000
2015-07-24,34185000000
2015-07-25,34345000000
2015-07-26,16605000000
2015-07-27,39715000000
2015-07-28,34000000000
2015-07-29,33830000000
2015-07-30,35205000000
2015-07-31,28085000000
2015-01-08,34745000000
2015-02-08,18430000000
2015-03-08,37695000000
2015-04-08,34840000000
2015-05-08,33120000000
2015-06-08,30575000000
2015-07-08,32195000000
2015-08-08,33355000000
2015-09-08,15515000000
2015-10-08,35420000000
2015-11-08,37585000000
2015-12-08,39035000000
2015-08-13,35980000000
2015-08-14,35595000000
2015-08-15,37355000000
2015-08-16,18040000000
2015-08-17,37150000000
2015-08-18,43890000000
2015-08-19,39495000000
2015-08-20,35660000000
2015-08-21,32445000000
2015-08-22,38185000000
2015-08-23,18655000000
2015-08-24,38930000000
2015-08-25,35340000000
2015-08-26,34685000000
2015-08-27,31060000000
2015-08-28,32000000000
2015-08-29,31575000000
2015-08-30,14435000000
2015-08-31,36915000000
2015-01-09,37975000000
2015-02-09,36170000000
2015-03-09,54295000000
2015-04-09,30385000000
2015-05-09,31765000000
2015-06-09,15820000000
2015-07-09,38490000000
2015-08-09,41585000000
2015-09-09,36970000000
2015-10-09,35610000000
2015-11-09,30940000000
2015-12-09,42160000000
2015-09-13,18805000000
2015-09-14,38885000000
2015-09-15,36995000000
2015-09-16,37345000000
2015-09-17,33310000000
2015-09-18,35450000000
2015-09-19,35705000000
2015-09-20,19600000000
2015-09-21,40900000000
2015-09-22,40810000000
2015-09-23,51450000000
2015-09-24,33360000000
2015-09-25,35895000000
2015-09-26,29955000000
2015-09-27,27010000000
2015-09-28,44680000000
2015-09-29,35845000000
2015-09-30,39760000000
2015-01-10,40525000000
2015-02-10,33870000000
2015-03-10,37485000000
2015-04-10,19205000000
2015-05-10,52505000000
2015-06-10,35620000000
2015-07-10,36785000000
2015-08-10,37905000000
2015-09-10,32375000000
2015-10-10,36080000000
2015-11-10,14310000000
2015-12-10,40255000000
2015-10-13,33095000000
2015-10-14,36280000000
2015-10-15,32055000000
2015-10-16,34830000000
2015-10-17,36780000000
2015-10-18,17045000000
2015-10-19,40645000000
2015-10-20,35460000000
2015-10-21,37370000000
2015-10-22,32490000000
2015-10-23,31050000000
2015-10-24,38055000000
2015-10-25,17990000000
2015-10-26,58045000000
2015-10-27,36360000000
2015-10-28,33770000000
2015-10-29,30380000000
2015-10-30,34310000000
2015-10-31,32680000000
2015-01-11,14995000000
2015-02-11,36860000000
2015-03-11,45040000000
2015-04-11,43215000000
2015-05-11,32325000000
2015-06-11,36340000000
2015-07-11,34705000000
2015-08-11,18165000000
2015-09-11,39835000000
2015-10-11,36415000000
2015-11-11,35085000000
2015-12-11,33100000000
2015-11-13,33770000000
2015-11-14,34320000000
2015-11-15,17205000000
2015-11-16,41455000000
2015-11-17,36205000000
2015-11-18,35660000000
2015-11-19,40580000000
2015-11-20,31800000000
2015-11-21,29945000000
2015-11-22,17290000000
2015-11-23,38320000000
2015-11-24,36505000000
2015-11-25,47740000000
2015-11-26,36935000000
2015-11-27,35660000000
2015-11-28,32705000000
2015-11-29,17390000000
2015-11-30,43990000000
2015-01-12,45075000000
2015-02-12,48875000000
2015-03-12,36010000000
2015-04-12,35405000000
2015-05-12,40715000000
2015-06-12,14200000000
2015-07-12,40235000000
2015-08-12,35500000000
2015-09-12,36175000000
2015-10-12,35030000000
2015-11-12,30425000000
2015-12-12,35400000000
2015-12-13,15370000000
2015-12-14,46035000000
2015-12-15,42525000000
2015-12-16,42380000000
2015-12-17,40735000000
2015-12-18,33710000000
2015-12-19,31665000000
2015-12-20,17165000000
2015-12-21,39505000000
2015-12-22,37905000000
2015-12-23,38860000000
2015-12-24,36825000000
2015-12-25,33855000000
2015-12-26,34000000000
2015-12-27,14200000000
2015-12-28,37335000000
2015-12-29,45495000000
2015-12-30,41370000000
2015-12-31,35475000000
2016-01-01,30170000000
2016-02-01,27570000000
2016-03-01,15910000000
2016-04-01,43630000000
2016-05-01,42200000000
2016-06-01,44570000000
2016-07-01,36830000000
2016-08-01,42220000000
2016-09-01,34935000000
2016-10-01,21065000000
2016-11-01,41055000000
2016-12-01,37485000000
2016-01-13,42025000000
2016-01-14,40725000000
2016-01-15,41385000000
2016-01-16,38045000000
2016-01-17,16365000000
2016-01-18,47885000000
2016-01-19,41250000000
2016-01-20,39510000000
2016-01-21,34145000000
2016-01-22,36460000000
2016-01-23,31885000000
2016-01-24,13800000000
2016-01-25,38640000000
2016-01-26,31190000000
2016-01-27,45810000000
2016-01-28,43385000000
2016-01-29,34840000000
2016-01-30,34855000000
2016-01-31,17125000000
2016-01-02,55620000000
2016-02-02,45515000000
2016-03-02,45805000000
2016-04-02,39420000000
2016-05-02,37905000000
2016-06-02,32535000000
2016-07-02,15920000000
2016-08-02,44930000000
2016-09-02,44165000000
